,net,con,reductionType,variation,it,meanAA,stdAA,meanSpike,stdSpike,BurstD0,BurstD1,BurstD2,BurstD3,BurstD4,BurstD5,MeanNrActivationsPerAstrocyte
4,0,2,0,0,4,2114.71028037383,6776.1830073948995,247.88,75.9725318783046,49.576,15.1945063756609,5.4888,3.01430498788693,6.0979687769127695,1.50725974197721,1.5849056603773586
5,0,2,0,0,5,2398.6168224299104,7318.46833171626,271.036,82.4124426527936,54.2072,16.482488530558697,6.6112,3.4567780605644898,7.8453302564637495,1.7596543872359898,1.858490566037736
6,0,2,0,0,6,2490.6355140186897,7824.2863535223705,249.82,76.23287742175292,49.964,15.2465754843506,5.784,3.04658234748382,7.35102420295478,1.67505333431519,1.5849056603773586
7,0,2,0,0,7,3152.1214953271,7633.026187537379,292.48,89.5579454878237,58.496,17.9115890975647,7.3968,3.7894999353476697,7.85817750247218,1.81140363680285,2.160377358490566
8,0,2,0,0,8,2552.57009345794,7484.95689636313,284.172,86.3878603508618,56.8344,17.2775720701724,6.9424,3.65432924625026,7.44814867131449,1.60175803446252,2.047169811320755
9,0,2,0,0,9,2532.33644859813,7737.35845424129,239.65599999999998,74.23956939530291,47.9312,14.8479138790606,5.2072,2.8825176773092003,6.25639846619008,1.5136863853892801,1.9339622641509435
0,0,0,1,0,0,985.9506172839509,4144.59232354951,139.012,38.308796065655706,27.8024,7.66175921313115,3.0839999999999996,1.7170626080606397,6.463177261418519,1.9978400032818502,0.6625
1,0,0,1,0,1,895.5061728395061,4053.5291927687604,167.804,47.811772441523196,33.5608,9.562354488304651,3.8696,1.97734059787382,6.79693848156712,2.02995238066587,0.6875
2,0,0,1,0,2,994.666666666667,4037.3179827488398,156.108,42.3361823503254,31.2216,8.467236470065071,3.6352,1.98063650375328,6.76864029146353,2.00832363461189,0.7125
3,0,0,1,0,3,1015.23456790123,4167.60367026248,176.988,50.333009606023,35.3976,10.0666019212046,4.1392,2.2264912665447403,7.13563985907975,1.95578365109597,0.675
4,0,0,1,0,4,1147.9012345679,4729.3122267824,147.164,40.7639191442629,29.4328,8.15278382885257,3.4616,1.7797655575946,8.02914415695229,2.62830560717151,0.7375
5,0,0,1,0,5,1121.14814814815,3877.5543046435296,179.168,48.8199526423367,35.8336,9.763990528467339,4.4136,2.2301154768307403,7.22701788764899,1.9125314273793401,0.8625
6,0,0,1,0,6,896.4938271604939,3617.42250891247,179.968,49.160949706042096,35.9936,9.83218994120842,5.1064,2.26027410727106,30.0604103806806,8.92222463960877,0.65
7,0,0,1,0,7,836.6172839506171,3190.1887693979197,206.968,58.4245751032902,41.3936,11.684915020658,5.2536,2.6048890648163905,8.154775716028361,2.0902223115793004,0.775
8,0,0,1,0,8,1025.5185185185198,3930.11736736475,159.72799999999998,47.0778718295549,31.9456,9.415574365910981,3.7648,1.89940015794461,7.83099844841525,2.1050450522499697,0.825
9,0,0,1,0,9,952.851851851852,3715.9719965692298,182.22799999999998,49.414653858951596,36.4456,9.88293077179032,4.6624,2.38815959265707,8.184685090494598,2.15071231513548,0.75
0,0,0,1,1,0,1037.0370370370401,3760.15583616005,200.9,60.62054107313789,40.18,12.124108214627599,5.1352,2.69044995493319,7.010033798417361,1.76782417963701,0.75
1,0,0,1,1,1,1154.54320987654,4168.3648244679,167.592,50.7379299538324,33.5184,10.1475859907665,3.7864,2.08130128525401,6.98535586363709,1.97516442727678,0.85
2,0,0,1,1,2,1010.75308641975,3645.2810575340295,187.18,55.7325362781921,37.436,11.1465072556384,4.4904,2.40372790473464,6.16807337411091,1.45995856940862,0.7125
