,net,con,param_F,param_G,it,MeanAA,StdAA,MeanSp,StdSp,BurstD0,BurstD1,BurstD2,BurstD3,BurstD4,BurstD5,MeanNrActivationsPerAstrocyte
2,0,2,2,2,2,9108.85981308411,8922.65981303928,765.92,242.069299168647,153.184,48.413859833729404,30.0264,10.7352775017696,28.603432018243197,5.907532952060371,6.4905660377358485
3,0,2,2,2,3,8995.42990654206,9470.17248124479,792.872,247.91164477692402,158.5744,49.5823289553849,31.0976,11.1093651591799,26.435074339394898,5.19121789823551,6.650943396226416
4,0,2,2,2,4,9899.31775700935,9402.53396010847,833.596,264.670317157025,166.7192,52.934063431404894,33.7536,15.188946212295301,8.272654287127121,1.23761696300627,7.09433962264151
5,0,2,2,2,5,9896.607476635509,9674.28746223722,750.7719999999999,231.706659412284,150.1544,46.3413318824567,29.5464,10.737128435480301,25.4475207335996,5.0064265707908895,6.915094339622643
6,0,2,2,2,6,10510.6635514019,8766.33324804472,775.2360000000001,241.131342433952,155.0472,48.2262684867905,30.7568,11.2659084746859,25.2825432300431,5.14294737381013,7.481132075471697
7,0,2,2,2,7,10285.3177570094,8980.00358387012,828.436,264.330228888033,165.6872,52.8660457776066,32.7672,11.787982192046302,26.680583093439804,5.430412840519611,7.037735849056604
8,0,2,2,2,8,10120.841121495301,8747.80651721379,731.128,228.156051017719,146.2256,45.631210203543795,29.2424,10.6147803670166,25.255918206642498,4.73609516315792,7.292452830188679
9,0,2,2,2,9,8387.57009345794,8581.886707481071,790.1039999999999,240.185705619631,158.0208,48.0371411239262,31.6696,11.2305919630267,23.864979532571397,4.6730591544558795,6.39622641509434
0,1,0,2,2,0,5762.046728971961,8662.02830964369,698.2760000000001,216.698998207191,139.6552,43.339799641438105,26.9352,12.316874642538199,7.9335607421665895,1.2398678398120802,4.273584905660377
1,1,0,2,2,1,6088.16822429907,9002.96214232774,633.132,199.40451994877202,126.6264,39.880903989754295,22.8744,10.9809318657389,8.14404231244658,1.29120672802385,4.226415094339623
2,1,0,2,2,2,5621.3457943925205,8872.548991659509,624.144,192.294158163996,124.8288,38.4588316327992,23.56,10.7839287831476,7.77134155673127,1.14962929895173,4.0
3,1,0,2,2,3,5755.79439252337,8680.472088391949,660.628,206.431823166875,132.1256,41.286364633375,24.5816,11.5018946891371,7.700698573466441,1.18458363101127,4.254716981132075
4,1,0,2,2,4,6995.93457943925,9215.63443312862,637.976,202.442168097459,127.5952,40.4884336194919,23.7192,11.160259466517802,7.56084618736325,1.17317498088728,4.688679245283018
5,1,0,2,2,5,6186.07476635514,9100.426470135078,622.688,202.499339890282,124.5376,40.4998679780564,22.6536,11.0294953211831,7.60006247828406,1.22195763159093,4.2075471698113205
6,1,0,2,2,6,6532.14018691589,9202.73459201133,662.7439999999999,199.34911703842602,132.5488,39.8698234076852,25.0688,11.243760338961302,7.60578606061533,1.08685357441668,4.613207547169812
7,1,0,2,2,7,5490.6542056074795,8877.366891021758,608.552,185.709922448963,121.7104,37.141984489792705,21.7096,10.0924520231706,7.5123709659721305,1.1620710800588798,3.7924528301886786
8,1,0,2,2,8,6055.261682242989,8607.08687824477,697.028,208.957304768223,139.4056,41.7914609536446,26.4336,11.8663014895122,7.60858224095644,1.14933828709865,4.622641509433962
9,1,0,2,2,9,5387.598130841121,8622.72955662681,584.3240000000001,183.576978469524,116.8648,36.715395693904796,20.991999999999997,10.2103288879448,7.46868030740321,1.09779571273527,3.80188679245283
0,1,1,2,2,0,7818.728971962621,9403.900921108241,773.184,227.018004008493,154.6368,45.4036008016985,30.2368,10.2494607545958,30.6320752629809,5.81977271485512,5.971698113207547
1,1,1,2,2,1,6398.271028037379,9636.703085900079,649.512,194.37302759385102,129.9024,38.8746055187702,24.5808,9.15707984894748,27.4367445011415,5.14146238808005,4.471698113207547
2,1,1,2,2,2,8757.093457943929,9931.50165353001,866.46,262.078981225126,173.292,52.415796245025206,34.7752,14.9422416310271,8.23701514342729,1.2116430826350602,6.481132075471697
3,1,1,2,2,3,7809.57943925234,9341.285800783191,831.6160000000001,249.19819530646703,166.3232,49.839639061293404,33.5056,14.1168738975738,8.23993315593194,1.2797980677871998,5.915094339622643
4,1,1,2,2,4,6987.52336448598,9458.78342866506,765.8839999999999,227.142049264331,153.1768,45.428409852866295,30.412,12.872060285750699,8.60644116010542,1.23809227683451,5.066037735849057
